Student_ID,Name,Gender,Percentage,Age,Stream,Interest,Skill,Aptitude_Score,Communication_Score,Recommended_Career
1120,Student_120,Female,90,21,BSc,Technology,Machine Learning,91,66,AI Engineer
1121,Student_121,Male,61,19,BE,Technology,Python,85,93,Data Analyst
1122,Student_122,Female,65,19,BTech,Technology,SQL,68,72,Data Scientist
1123,Student_123,Male,83,20,BCom,Technology,Programming,92,78,Software Developer
1124,Student_124,Female,80,22,BE,Design,Creativity,95,68,UI/UX Designer
1125,Student_125,Male,69,21,BSc,Finance,Analytics,83,78,Financial Analyst
1126,Student_126,Female,76,22,BCom,Business,Communication,61,86,Business Analyst
1127,Student_127,Male,72,22,BTech,Marketing,Creativity,95,99,Digital Marketer
1128,Student_128,Female,79,22,BE,Technology,Networking,85,67,Cyber Security Analyst
1129,Student_129,Male,90,19,BSc,Technology,Cloud,60,78,Cloud Engineer
1130,Student_130,Female,79,21,BCA,Technology,Machine Learning,60,80,AI Engineer
1131,Student_131,Male,92,18,BCom,Technology,Python,81,76,Data Analyst
1132,Student_132,Female,85,22,BCom,Technology,SQL,62,100,Data Scientist
1133,Student_133,Male,60,20,BCom,Technology,Programming,79,91,Software Developer
1134,Student_134,Female,76,18,BTech,Design,Creativity,68,81,UI/UX Designer
1135,Student_135,Male,64,20,BCA,Finance,Analytics,67,70,Financial Analyst
1136,Student_136,Female,69,22,BE,Business,Communication,76,82,Business Analyst
1137,Student_137,Male,84,19,BSc,Marketing,Creativity,99,95,Digital Marketer
1138,Student_138,Female,60,19,BCA,Technology,Networking,94,93,Cyber Security Analyst
1139,Student_139,Male,68,20,BCom,Technology,Cloud,96,61,Cloud Engineer
1140,Student_140,Female,87,20,BSc,Technology,Machine Learning,95,61,AI Engineer
1141,Student_141,Male,65,22,BCA,Technology,Python,90,71,Data Analyst
1142,Student_142,Female,81,22,BTech,Technology,SQL,87,74,Data Scientist
1143,Student_143,Male,88,20,BCA,Technology,Programming,60,72,Software Developer
1144,Student_144,Female,89,18,BCA,Design,Creativity,70,96,UI/UX Designer
1145,Student_145,Male,79,21,BSc,Finance,Analytics,85,88,Financial Analyst
1146,Student_146,Female,65,22,BTech,Business,Communication,65,62,Business Analyst
1147,Student_147,Male,93,22,BE,Marketing,Creativity,77,93,Digital Marketer
1148,Student_148,Female,77,18,BTech,Technology,Networking,79,74,Cyber Security Analyst
1149,Student_149,Male,77,20,BE,Technology,Cloud,75,76,Cloud Engineer
1150,Student_150,Female,80,22,BSc,Technology,Machine Learning,68,60,AI Engineer
1151,Student_151,Male,81,22,BE,Technology,Python,75,70,Data Analyst
1152,Student_152,Female,80,22,BCA,Technology,SQL,76,100,Data Scientist
1153,Student_153,Male,72,22,BTech,Technology,Programming,90,70,Software Developer
1154,Student_154,Female,64,22,BE,Design,Creativity,98,85,UI/UX Designer
1155,Student_155,Male,73,20,BSc,Finance,Analytics,97,65,Financial Analyst
1156,Student_156,Female,81,18,BSc,Business,Communication,86,85,Business Analyst
1157,Student_157,Male,91,18,BSc,Marketing,Creativity,79,83,Digital Marketer
1158,Student_158,Female,70,19,BSc,Technology,Networking,69,100,Cyber Security Analyst
1159,Student_159,Male,92,18,BCom,Technology,Cloud,63,67,Cloud Engineer
1160,Student_160,Female,61,20,BE,Technology,Machine Learning,78,74,AI Engineer
1161,Student_161,Male,62,18,BCA,Technology,Python,67,91,Data Analyst
1162,Student_162,Female,78,20,BE,Technology,SQL,95,79,Data Scientist
1163,Student_163,Male,82,19,BCom,Technology,Programming,86,82,Software Developer
1164,Student_164,Female,85,20,BE,Design,Creativity,83,68,UI/UX Designer
1165,Student_165,Male,70,22,BSc,Finance,Analytics,82,100,Financial Analyst
1166,Student_166,Female,83,20,BCom,Business,Communication,73,91,Business Analyst
1167,Student_167,Male,74,22,BSc,Marketing,Creativity,97,83,Digital Marketer
1168,Student_168,Female,77,20,BCA,Technology,Networking,65,92,Cyber Security Analyst
1169,Student_169,Male,63,20,BSc,Technology,Cloud,93,77,Cloud Engineer
1170,Student_170,Female,63,18,BCA,Technology,Machine Learning,62,96,AI Engineer
1171,Student_171,Male,76,18,BE,Technology,Python,78,81,Data Analyst
1172,Student_172,Female,61,20,BSc,Technology,SQL,73,69,Data Scientist
1173,Student_173,Male,61,18,BCom,Technology,Programming,74,98,Software Developer
1174,Student_174,Female,81,18,BTech,Design,Creativity,100,98,UI/UX Designer
1175,Student_175,Male,79,19,BTech,Finance,Analytics,60,82,Financial Analyst
1176,Student_176,Female,64,18,BE,Business,Communication,85,62,Business Analyst
1177,Student_177,Male,65,18,BTech,Marketing,Creativity,68,70,Digital Marketer
1178,Student_178,Female,86,19,BTech,Technology,Networking,76,74,Cyber Security Analyst
1179,Student_179,Male,87,19,BSc,Technology,Cloud,91,95,Cloud Engineer
1180,Student_180,Female,78,22,BTech,Technology,Machine Learning,71,65,AI Engineer
1181,Student_181,Male,85,20,BE,Technology,Python,63,65,Data Analyst
1182,Student_182,Female,83,19,BE,Technology,SQL,91,65,Data Scientist
1183,Student_183,Male,65,21,BCA,Technology,Programming,76,78,Software Developer
1184,Student_184,Female,65,20,BE,Design,Creativity,78,74,UI/UX Designer
1185,Student_185,Male,74,21,BE,Finance,Analytics,70,98,Financial Analyst
1186,Student_186,Female,63,21,BCA,Business,Communication,65,86,Business Analyst
1187,Student_187,Male,83,18,BCA,Marketing,Creativity,91,83,Digital Marketer
1188,Student_188,Female,75,19,BCA,Technology,Networking,64,61,Cyber Security Analyst
1189,Student_189,Male,71,18,BTech,Technology,Cloud,100,60,Cloud Engineer
1190,Student_190,Female,70,20,BCA,Technology,Machine Learning,60,81,AI Engineer
1191,Student_191,Male,77,21,BE,Technology,Python,80,62,Data Analyst
1192,Student_192,Female,78,19,BSc,Technology,SQL,90,97,Data Scientist
1193,Student_193,Male,64,18,BCA,Technology,Programming,60,64,Software Developer
1194,Student_194,Female,76,18,BCA,Design,Creativity,87,67,UI/UX Designer
1195,Student_195,Male,65,21,BCA,Finance,Analytics,90,91,Financial Analyst
1196,Student_196,Female,67,21,BCA,Business,Communication,70,82,Business Analyst
1197,Student_197,Male,67,20,BCA,Marketing,Creativity,95,74,Digital Marketer
1198,Student_198,Female,67,18,BCA,Technology,Networking,93,64,Cyber Security Analyst
1199,Student_199,Male,66,18,BE,Technology,Cloud,70,86,Cloud Engineer
1200,Student_200,Female,82,18,BCA,Technology,Machine Learning,79,78,AI Engineer
